method,metric,n_pairs,delta_mean_cfg_minus_full,delta_ci_low,delta_ci_high,p_value,effect_size_d,p_value_bh_fdr,significant_fdr_0_05
RANDOM,fitness,4,-0.034157515469446065,-0.05081412572330024,-0.01750090521559189,0.13046738315421144,-1.9813337896509233,1.0,False
RANDOM,feasible,4,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,overall_completeness,4,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,constraint_valid,4,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,linearity,4,0.06532016958553691,-0.003388305847076452,0.12683081536155,0.2519370157460635,0.9283312679974731,1.0,False
RANDOM,leniency,4,0.08333333333333334,-0.04999999999999999,0.30000000000000004,1.0,0.4508348173337162,1.0,False
RANDOM,progression_complexity,4,-0.03935138803628248,-0.08150676368676366,0.0028039876141986997,0.385153711572107,-0.888767928146803,1.0,False
RANDOM,topology_complexity,4,-0.03426370915013911,-0.0827144591873191,0.01418704088704087,0.5083729067733067,-0.6958270852748205,1.0,False
RANDOM,path_length,4,1.0,-0.5,2.5,0.4936265933516621,0.7071067811865475,1.0,False
RANDOM,num_nodes,4,-2.25,-4.5,0.0,0.501374656335916,-0.9045340337332909,1.0,False
RANDOM,repair_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,generation_constraint_rejections,4,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,candidate_repairs_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
RANDOM,novelty_vs_reference,4,0.003275700518258831,-0.026184002048012245,0.03470668522072848,0.8765308672831792,0.09917097695651583,1.0,False
RANDOM,graph_edit_distance,4,0.027476272588992205,0.0026642693690748613,0.05302518570745211,0.2561859535116221,0.9996953989917134,1.0,False
RANDOM,generation_time_sec,4,-0.4860100746154785,-0.6755447387695312,-0.2964754104614258,0.12971757060734818,-2.4531684336608808,1.0,False
ES,fitness,4,0.016415404990580418,-0.012309973592026346,0.046480160533298176,0.501374656335916,0.5133011176890256,1.0,False
ES,feasible,4,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,overall_completeness,4,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,constraint_valid,4,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,linearity,4,0.05489134553602318,-0.012214854111405854,0.10411140583554375,0.2519370157460635,0.8662208775574443,1.0,False
ES,leniency,4,-0.004166666666666652,-0.35416666666666663,0.30000000000000004,1.0,-0.012906718211039392,1.0,False
ES,progression_complexity,4,-0.03364435138303609,-0.06611592149556653,-0.0011727812705056573,0.24943764058985254,-1.0105937849539541,1.0,False
ES,topology_complexity,4,-0.016806475764658282,-0.05201013181545226,0.022770868316489973,0.5028742814296426,-0.4702687243699082,1.0,False
ES,path_length,4,1.5,-0.25,2.75,0.24543864033991503,1.0,1.0,False
ES,num_nodes,4,0.0,-2.0,1.5,1.0,0.0,1.0,False
ES,repair_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,generation_constraint_rejections,4,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,candidate_repairs_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
ES,novelty_vs_reference,4,0.004801086160864773,-0.018284604212403636,0.027886776534133184,0.8765308672831792,0.19250816212141902,1.0,False
ES,graph_edit_distance,4,0.0008405078402314945,-0.00782493670048939,0.007246412240424768,0.8775306173456636,0.10389149136929973,1.0,False
ES,generation_time_sec,4,-0.003574192523956299,-0.09078800678253174,0.08363962173461914,1.0,-0.0391480906375084,1.0,False
GA,fitness,4,0.006850234636206626,-0.027583218749991728,0.04531733715434533,0.6278430392401899,0.19603618282739724,1.0,False
GA,feasible,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,overall_completeness,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,constraint_valid,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,linearity,4,0.0434598016925603,-0.028700265251989404,0.1278064607805987,0.49987503124218946,0.5166816554944139,1.0,False
GA,leniency,4,0.08333333333333334,0.0,0.25,1.0,0.5773502691896257,1.0,False
GA,progression_complexity,4,-0.03372173470117652,-0.06853307880008189,0.0010896093977288412,0.385153711572107,-0.9499604089666185,1.0,False
GA,topology_complexity,4,-0.016717491895675465,-0.05256856739201535,0.019133583600664417,0.5083729067733067,-0.4609518540727245,1.0,False
GA,path_length,4,1.25,-1.0,3.5,0.6223444138965258,0.502518907629606,1.0,False
GA,num_nodes,4,0.5,-2.0,2.5,0.7535616095976005,0.22941573387056174,1.0,False
GA,repair_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,generation_constraint_rejections,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,candidate_repairs_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
GA,novelty_vs_reference,4,0.0025841003041905744,-0.04929287269475247,0.03699310001044212,1.0,0.05523706598825253,1.0,False
GA,graph_edit_distance,4,-0.0023724206224832907,-0.01901775854505779,0.014272917300091208,0.8775306173456636,-0.13895816947275458,1.0,False
GA,generation_time_sec,4,-0.2548723816871643,-0.4081050753593445,-0.05899786949157715,0.24743814046488377,-1.4685811194065952,1.0,False
MAP_ELITES,fitness,4,-0.03771330615291506,-0.10917125244946525,0.020734591614064712,0.5071232191952012,-0.5811945519325848,1.0,False
MAP_ELITES,feasible,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,overall_completeness,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,constraint_valid,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,linearity,4,0.03259637606894792,0.015009269558768981,0.056890134337297844,0.1232191952011997,1.4393300724351843,1.0,False
MAP_ELITES,leniency,4,0.020833333333333343,-0.325,0.3666666666666667,1.0,0.05941025048329328,1.0,False
MAP_ELITES,progression_complexity,4,0.003129558832017071,-0.03396890817648186,0.02384231501454631,1.0,0.09612915693111167,1.0,False
MAP_ELITES,topology_complexity,4,0.01126942646197461,-0.04009429388930036,0.06489769679035232,0.7393151712071983,0.1960791736981152,1.0,False
MAP_ELITES,path_length,4,0.5,0.0,1.0,0.49912521869532617,1.0,1.0,False
MAP_ELITES,num_nodes,4,-1.0,-2.5,1.0,0.5008747813046738,-0.5345224838248488,1.0,False
MAP_ELITES,repair_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,generation_constraint_rejections,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,candidate_repairs_applied,4,0.0,0.0,0.0,1.0,0.0,1.0,False
MAP_ELITES,novelty_vs_reference,4,0.004264842280146477,-0.03709685430181472,0.04562653886210767,0.8907773056735816,0.10085912394144661,1.0,False
MAP_ELITES,graph_edit_distance,4,-0.006704796642310013,-0.04030321972713277,0.017944678681078352,0.8710322419395151,-0.21547518866423435,1.0,False
MAP_ELITES,generation_time_sec,4,0.2970055341720581,0.08295518159866333,0.5437411665916443,0.12971757060734818,1.2457726681279935,1.0,False
